"Type","Entries","Year","Value"
"Penerimaan Bukan Hasil/Non-Revenue"," Hasil Wilayah Persekutuan","1976",31
"Penerimaan Bukan Hasil/Non-Revenue"," Revenue from Federal Territories","1976",0
"CUKAI LANGSUNG/DIRECT TAX","Perseorangan/Individuals","1977",1336
"CUKAI LANGSUNG/DIRECT TAX","Syarikat-syarikat/Companies","1977",679
"CUKAI LANGSUNG/DIRECT TAX","Petroleum/Petroleum","1977",776
"CUKAI LANGSUNG/DIRECT TAX","Pegangan dan lain-lain/Withholding and others","1977",0
"CUKAI LANGSUNG/DIRECT TAX","Duti Harta Pusaka/Estate Duty","1977",0
"CUKAI LANGSUNG/DIRECT TAX","Duti Setem/Stamp Duty","1977",65
"CUKAI LANGSUNG/DIRECT TAX","RPGT/Real Property Gains Tax","1977",0
"CUKAI LANGSUNG/DIRECT TAX","Lain-lain/Others","1977",45
"CUKAI TAK LANGSUNG/INDIRECT TAX","Duti Eksport/Export Duties","1977",1390
"CUKAI TAK LANGSUNG/INDIRECT TAX","Duti Import dan Cukai Tokok","1977",1140
"CUKAI TAK LANGSUNG/INDIRECT TAX","Import Duties and Surtax","1977",0
"CUKAI TAK LANGSUNG/INDIRECT TAX","Duti Eksais/Excise Duties","1977",695
"CUKAI TAK LANGSUNG/INDIRECT TAX","Cukai Jualan/Sales Tax","1977",383
"CUKAI TAK LANGSUNG/INDIRECT TAX","Cukai Perkhidmatan/Service Tax","1977",16
"CUKAI TAK LANGSUNG/INDIRECT TAX","Cukai Barang dan Perkhidmatan/Goods and Services Tax","1977",0
"CUKAI TAK LANGSUNG/INDIRECT TAX","Lain-lain/Others","1977",137
"Hasil Bukan Cukai/Non Tax Revenue","Dividen PETRONAS/PETRONAS Dividen","1977",0
"Hasil Bukan Cukai/Non Tax Revenue","Royalti Petroleum & Gas/Petroleum Royalty & Gas","1977",111
"Hasil Bukan Cukai/Non Tax Revenue","Lesen Kenderaan Bermotor dan Cukai Jalan/Motor Vehicle Licence and Roadtax","1977",298
"Hasil Bukan Cukai/Non Tax Revenue","Dividen Bank Negara/Bank Negara Dividen","1977",90
"Hasil Bukan Cukai/Non Tax Revenue","Lain-lain/Others","1977",490
"Penerimaan Bukan Hasil/Non-Revenue"," Terimaan Bukan  Hasil/Non-Revenue Receipts","1977",73
"Penerimaan Bukan Hasil/Non-Revenue"," Hasil Wilayah Persekutuan","1977",36
"Penerimaan Bukan Hasil/Non-Revenue"," Revenue from Federal Territories","1977",0
"CUKAI LANGSUNG/DIRECT TAX","Perseorangan/Individuals","1978",1624
"CUKAI LANGSUNG/DIRECT TAX","Syarikat-syarikat/Companies","1978",771
"CUKAI LANGSUNG/DIRECT TAX","Petroleum/Petroleum","1978",771
"CUKAI LANGSUNG/DIRECT TAX","Pegangan dan lain-lain/Withholding and others","1978",1
"CUKAI LANGSUNG/DIRECT TAX","Duti Harta Pusaka/Estate Duty","1978",0
"CUKAI LANGSUNG/DIRECT TAX","Duti Setem/Stamp Duty","1978",93
"CUKAI LANGSUNG/DIRECT TAX","RPGT/Real Property Gains Tax","1978",0
"CUKAI LANGSUNG/DIRECT TAX","Lain-lain/Others","1978",40
"CUKAI TAK LANGSUNG/INDIRECT TAX","Duti Eksport/Export Duties","1978",1463
"CUKAI TAK LANGSUNG/INDIRECT TAX","Duti Import dan Cukai Tokok","1978",1325
"CUKAI TAK LANGSUNG/INDIRECT TAX","Import Duties and Surtax","1978",0
"CUKAI TAK LANGSUNG/INDIRECT TAX","Duti Eksais/Excise Duties","1978",849
"CUKAI TAK LANGSUNG/INDIRECT TAX","Cukai Jualan/Sales Tax","1978",458
"CUKAI TAK LANGSUNG/INDIRECT TAX","Cukai Perkhidmatan/Service Tax","1978",18
"CUKAI TAK LANGSUNG/INDIRECT TAX","Cukai Barang dan Perkhidmatan/Goods and Services Tax","1978",0
"CUKAI TAK LANGSUNG/INDIRECT TAX","Lain-lain/Others","1978",153
"Hasil Bukan Cukai/Non Tax Revenue","Dividen PETRONAS/PETRONAS Dividen","1978",0
"Hasil Bukan Cukai/Non Tax Revenue","Royalti Petroleum & Gas/Petroleum Royalty & Gas","1978",116
"Hasil Bukan Cukai/Non Tax Revenue","Lesen Kenderaan Bermotor dan Cukai Jalan/Motor Vehicle Licence and Roadtax","1978",325
"Hasil Bukan Cukai/Non Tax Revenue","Dividen Bank Negara/Bank Negara Dividen","1978",120
"Hasil Bukan Cukai/Non Tax Revenue","Lain-lain/Others","1978",557
"Penerimaan Bukan Hasil/Non-Revenue"," Terimaan Bukan  Hasil/Non-Revenue Receipts","1978",112
"Penerimaan Bukan Hasil/Non-Revenue"," Hasil Wilayah Persekutuan","1978",44
"Penerimaan Bukan Hasil/Non-Revenue"," Revenue from Federal Territories","1978",0
"CUKAI LANGSUNG/DIRECT TAX","Perseorangan/Individuals","1979",1804
"CUKAI LANGSUNG/DIRECT TAX","Syarikat-syarikat/Companies","1979",1041
"CUKAI LANGSUNG/DIRECT TAX","Petroleum/Petroleum","1979",829
"CUKAI LANGSUNG/DIRECT TAX","Pegangan dan lain-lain/Withholding and others","1979",0
"CUKAI LANGSUNG/DIRECT TAX","Duti Harta Pusaka/Estate Duty","1979",0
"CUKAI LANGSUNG/DIRECT TAX","Duti Setem/Stamp Duty","1979",119
"CUKAI LANGSUNG/DIRECT TAX","RPGT/Real Property Gains Tax","1979",0
"CUKAI LANGSUNG/DIRECT TAX","Lain-lain/Others","1979",42
"CUKAI TAK LANGSUNG/INDIRECT TAX","Duti Eksport/Export Duties","1979",1939
"CUKAI TAK LANGSUNG/INDIRECT TAX","Duti Import dan Cukai Tokok","1979",1513
"CUKAI TAK LANGSUNG/INDIRECT TAX","Import Duties and Surtax","1979",0
"CUKAI TAK LANGSUNG/INDIRECT TAX","Duti Eksais/Excise Duties","1979",957
"CUKAI TAK LANGSUNG/INDIRECT TAX","Cukai Jualan/Sales Tax","1979",544
"CUKAI TAK LANGSUNG/INDIRECT TAX","Cukai Perkhidmatan/Service Tax","1979",22
"CUKAI TAK LANGSUNG/INDIRECT TAX","Cukai Barang dan Perkhidmatan/Goods and Services Tax","1979",0
"CUKAI TAK LANGSUNG/INDIRECT TAX","Lain-lain/Others","1979",187
"Hasil Bukan Cukai/Non Tax Revenue","Dividen PETRONAS/PETRONAS Dividen","1979",0
"Hasil Bukan Cukai/Non Tax Revenue","Royalti Petroleum & Gas/Petroleum Royalty & Gas","1979",166
"Hasil Bukan Cukai/Non Tax Revenue","Lesen Kenderaan Bermotor dan Cukai Jalan/Motor Vehicle Licence and Roadtax","1979",346
"Hasil Bukan Cukai/Non Tax Revenue","Dividen Bank Negara/Bank Negara Dividen","1979",150
"Hasil Bukan Cukai/Non Tax Revenue","Lain-lain/Others","1979",665
"Penerimaan Bukan Hasil/Non-Revenue"," Terimaan Bukan  Hasil/Non-Revenue Receipts","1979",124
"Penerimaan Bukan Hasil/Non-Revenue"," Hasil Wilayah Persekutuan","1979",57
"Penerimaan Bukan Hasil/Non-Revenue"," Revenue from Federal Territories","1979",0
"CUKAI LANGSUNG/DIRECT TAX","Perseorangan/Individuals","1980",2530
